origin,destination,start,end,operator,link_flow_of_the_od
1.0,3.0,1.0,21.0,1.0,0.0
1.0,3.0,22.0,3.0,2.0,0.0
1.0,3.0,23.0,4.0,3.0,0.0
1.0,3.0,1.0,3.0,1.0,995.3452215890633
1.0,3.0,1.0,4.0,4.0,0.0
1.0,3.0,1.0,5.0,5.0,0.0
1.0,3.0,5.0,4.0,5.0,0.0
1.0,3.0,1.0,6.0,6.0,0.0
1.0,3.0,6.0,4.0,6.0,0.0
1.0,3.0,21.0,22.0,0.0,0.0
1.0,3.0,21.0,23.0,0.0,0.0
1.0,3.0,7.0,8.0,7.0,0.0
1.0,3.0,7.0,8.0,7.0,0.0
1.0,3.0,7.0,8.0,7.0,0.0
1.0,3.0,8.0,7.0,7.0,0.0
1.0,3.0,8.0,7.0,7.0,0.0
1.0,3.0,8.0,7.0,7.0,0.0
1.0,3.0,7.0,13.0,7.0,4.654778410936749
1.0,3.0,7.0,13.0,7.0,0.0
1.0,3.0,7.0,13.0,7.0,0.0
1.0,3.0,13.0,7.0,7.0,0.0
1.0,3.0,13.0,7.0,7.0,0.0
1.0,3.0,13.0,7.0,7.0,0.0
1.0,3.0,8.0,13.0,7.0,0.0
1.0,3.0,8.0,13.0,7.0,0.0
1.0,3.0,8.0,13.0,7.0,0.0
1.0,3.0,13.0,8.0,7.0,0.0
1.0,3.0,13.0,8.0,7.0,0.0
1.0,3.0,13.0,8.0,7.0,0.0
1.0,3.0,9.0,10.0,8.0,0.0
1.0,3.0,9.0,10.0,8.0,0.0
1.0,3.0,9.0,10.0,8.0,0.0
1.0,3.0,10.0,9.0,8.0,0.0
1.0,3.0,10.0,9.0,8.0,0.0
1.0,3.0,10.0,9.0,8.0,0.0
1.0,3.0,11.0,12.0,9.0,0.0
1.0,3.0,11.0,12.0,9.0,0.0
1.0,3.0,11.0,12.0,9.0,0.0
1.0,3.0,12.0,11.0,9.0,0.0
1.0,3.0,12.0,11.0,9.0,0.0
1.0,3.0,12.0,11.0,9.0,0.0
1.0,4.0,1.0,21.0,1.0,200.0
1.0,4.0,22.0,3.0,2.0,0.0
1.0,4.0,23.0,4.0,3.0,197.14925727206784
1.0,4.0,1.0,3.0,1.0,0.0
1.0,4.0,1.0,4.0,4.0,0.0
1.0,4.0,1.0,5.0,5.0,0.0
1.0,4.0,5.0,4.0,5.0,0.0
1.0,4.0,1.0,6.0,6.0,0.0
1.0,4.0,6.0,4.0,6.0,0.0
1.0,4.0,21.0,22.0,0.0,0.0
1.0,4.0,21.0,23.0,0.0,197.14925727206784
1.0,4.0,7.0,8.0,7.0,0.0
1.0,4.0,7.0,8.0,7.0,0.0
1.0,4.0,7.0,8.0,7.0,0.0
1.0,4.0,8.0,7.0,7.0,0.0
1.0,4.0,8.0,7.0,7.0,0.0
1.0,4.0,8.0,7.0,7.0,0.0
1.0,4.0,7.0,13.0,7.0,0.0
1.0,4.0,7.0,13.0,7.0,0.0
1.0,4.0,7.0,13.0,7.0,0.0
1.0,4.0,13.0,7.0,7.0,0.0
1.0,4.0,13.0,7.0,7.0,0.0
1.0,4.0,13.0,7.0,7.0,0.0
1.0,4.0,8.0,13.0,7.0,0.0
1.0,4.0,8.0,13.0,7.0,0.0
1.0,4.0,8.0,13.0,7.0,0.0
1.0,4.0,13.0,8.0,7.0,0.0
1.0,4.0,13.0,8.0,7.0,0.0
1.0,4.0,13.0,8.0,7.0,0.0
1.0,4.0,9.0,10.0,8.0,0.0
1.0,4.0,9.0,10.0,8.0,0.0
1.0,4.0,9.0,10.0,8.0,0.0
1.0,4.0,10.0,9.0,8.0,0.0
1.0,4.0,10.0,9.0,8.0,0.0
1.0,4.0,10.0,9.0,8.0,0.0
1.0,4.0,11.0,12.0,9.0,2.8507427279321713
1.0,4.0,11.0,12.0,9.0,0.0
1.0,4.0,11.0,12.0,9.0,0.0
1.0,4.0,12.0,11.0,9.0,0.0
1.0,4.0,12.0,11.0,9.0,0.0
1.0,4.0,12.0,11.0,9.0,0.0
